region,sexo,edad,educc,activ,yoprcor,ypchtotcor,pueblos_indigenas,lugar_nac,pobreza
16,Mujer,36,Superior incompleta,Ocupado/a,1500000,865751,No pertenece,Nacido/a en Chile,No pobre
6,Hombre,39,Media completa,Ocupado/a,800000,205684,No pertenece,Nacido/a en Chile,No pobre
13,Hombre,62,Superior completa,Ocupado/a,NA,1862500,No pertenece,Nacido/a fuera de Chile,No pobre
15,Mujer,57,Media completa,Ocupado/a,1200000,1089917,No pertenece,Nacido/a en Chile,No pobre
5,Mujer,68,Superior incompleta,Inactivo/a,NA,882148,No pertenece,Nacido/a en Chile,No pobre
13,Hombre,14,Básica completa,NA,NA,207243,No pertenece,Nacido/a en Chile,Pobreza multidimensional
5,Hombre,52,Básica incompleta,Ocupado/a,NA,200000,No pertenece,Nacido/a en Chile,Pobreza severa
13,Hombre,53,Superior completa,Ocupado/a,1200000,425625,No pertenece,Nacido/a en Chile,No pobre
12,Hombre,80,Básica incompleta,Inactivo/a,NA,555750,No pertenece,Nacido/a en Chile,No pobre
6,Hombre,55,Básica incompleta,Ocupado/a,700000,427083,No pertenece,Nacido/a en Chile,Pobreza multidimensional
8,Hombre,23,Superior incompleta,Desocupado/a,NA,313081,No pertenece,Nacido/a en Chile,No pobre
7,Mujer,17,Media incompleta,Inactivo/a,NA,585474,Pertenece,Nacido/a en Chile,Pobreza multidimensional
10,Mujer,7,Básica incompleta,NA,NA,900000,No pertenece,Nacido/a en Chile,No pobre
2,Mujer,26,Superior completa,Ocupado/a,200000,1334167,No pertenece,Nacido/a en Chile,No pobre
1,Hombre,35,Básica incompleta,Ocupado/a,650000,362500,No pertenece,Nacido/a fuera de Chile,Pobreza multidimensional
8,Mujer,58,Media completa,Ocupado/a,200000,200000,Pertenece,Nacido/a en Chile,Pobreza severa
12,Mujer,4,Sin educación formal,NA,NA,310622,Pertenece,Nacido/a en Chile,No pobre
14,Hombre,78,Básica incompleta,Ocupado/a,NA,532121,No pertenece,Nacido/a en Chile,No pobre
3,Mujer,14,Básica completa,NA,NA,725000,No pertenece,Nacido/a en Chile,No pobre
5,Hombre,33,Básica completa,Ocupado/a,520000,238000,No pertenece,Nacido/a en Chile,Pobreza multidimensional
4,Hombre,8,Básica incompleta,NA,NA,276257,No pertenece,Nacido/a en Chile,No pobre
8,Mujer,66,Media completa,Inactivo/a,NA,476294,No pertenece,Nacido/a en Chile,No pobre
12,Mujer,11,Básica incompleta,NA,NA,372991,Pertenece,Nacido/a en Chile,No pobre
9,Mujer,15,Media incompleta,Inactivo/a,NA,236526,Pertenece,Nacido/a en Chile,No pobre
7,Hombre,83,Básica incompleta,Inactivo/a,NA,425648,No pertenece,Nacido/a en Chile,Pobreza por ingresos
7,Hombre,48,Básica incompleta,Ocupado/a,500000,861238,No pertenece,Nacido/a en Chile,No pobre
4,Hombre,3,Sin educación formal,NA,NA,1454912,No pertenece,Nacido/a en Chile,No pobre
16,Mujer,53,Superior incompleta,Inactivo/a,NA,292588,No pertenece,Nacido/a en Chile,Pobreza por ingresos
1,Mujer,18,Superior incompleta,Desocupado/a,NA,553754,Pertenece,Nacido/a en Chile,NA
10,Hombre,5,Sin educación formal,NA,NA,360056,No pertenece,Nacido/a en Chile,No pobre
12,Hombre,55,Básica completa,Ocupado/a,1500000,825917,Pertenece,Nacido/a en Chile,No pobre
11,Hombre,27,Media completa,Ocupado/a,150000,542944,No pertenece,Nacido/a en Chile,No pobre
9,Hombre,62,Básica completa,Ocupado/a,200000,302956,Pertenece,Nacido/a en Chile,No pobre
5,Mujer,19,Media completa,Inactivo/a,NA,168917,No pertenece,Nacido/a en Chile,Pobreza por ingresos
2,Mujer,50,Superior completa,Desocupado/a,NA,421141,Pertenece,Nacido/a en Chile,No pobre
12,Hombre,20,Sin educación formal,Inactivo/a,NA,306426,No pertenece,Nacido/a en Chile,No pobre
6,Mujer,33,Media completa,Ocupado/a,500000,188762,No pertenece,Nacido/a fuera de Chile,Pobreza severa
5,Hombre,30,Sin educación formal,Inactivo/a,NA,342420,No pertenece,Nacido/a en Chile,Pobreza multidimensional
2,Hombre,7,Básica incompleta,NA,NA,300696,No pertenece,Nacido/a en Chile,No pobre
10,Mujer,15,Media incompleta,Inactivo/a,NA,161173,Pertenece,Nacido/a en Chile,Pobreza por ingresos
13,Mujer,75,Media incompleta,Inactivo/a,NA,472295,No pertenece,Nacido/a en Chile,No pobre
8,Hombre,48,Superior incompleta,Inactivo/a,NA,139125,No pertenece,Nacido/a en Chile,Pobreza por ingresos
8,Hombre,72,Superior completa,Ocupado/a,2000000,1083333,No pertenece,Nacido/a en Chile,No pobre
9,Mujer,57,Básica incompleta,Inactivo/a,NA,571287,Pertenece,Nacido/a en Chile,No pobre
1,Mujer,16,Media incompleta,Inactivo/a,NA,450167,Pertenece,Nacido/a en Chile,No pobre
15,Hombre,73,Media incompleta,Inactivo/a,NA,254200,Pertenece,Nacido/a en Chile,Pobreza multidimensional
13,Hombre,33,Superior completa,Ocupado/a,2350000,1969375,No pertenece,Nacido/a en Chile,No pobre
8,Hombre,18,Media completa,Inactivo/a,NA,210000,No pertenece,Nacido/a en Chile,Pobreza severa
7,Mujer,62,Media completa,Inactivo/a,NA,191667,No pertenece,Nacido/a en Chile,No pobre
9,Hombre,9,Básica incompleta,NA,NA,163327,No pertenece,Nacido/a en Chile,Pobreza por ingresos
11,Mujer,90,Básica incompleta,Inactivo/a,NA,680000,No pertenece,Nacido/a en Chile,No pobre
